id,registration_number,model,brand,color,max_speed,seating_capacity,year_of_manufacture
384,AB2603BK,Echo,Land Rover,Яскраво-зелений,213,22,1896
385,NV4386KA,Impala,Honda,Візантійський,273,33,2019
386,NA1404EM,Grand Caravan Passenger,Dodge,Амарантово-рожевий,183,8,1975
387,SS0316KX,Probe,MINI,Зелене море,260,7,1937
388,BO9167MK,S60,Honda,Ясно-лазуровий (веб),161,26,1931
389,BK6684PA,Tundra Double Cab,Ford,Гарячо-рожевий,282,24,1972
390,AN3784HX,E150 Cargo,Audi,Блідо-пісочний,184,35,1967
391,XA8896TT,GR Supra,Mercury,Синій,234,33,1985
392,BI9197XN,Astro Passenger,Porsche,Барвінковий,141,33,1946
393,IA7037CA,Vanquish,Hyundai,Відбірний жовтий,212,22,1973
394,NS8638BX,Cutlass Supreme,Audi,Бірюзовий,176,42,1898
395,MT0800PI,Mustang,Nissan,Ясно-вишневий,239,42,1920
396,TM8422KI,Talon,Audi,Паросток папаї,267,14,1915
397,BB9361CX,CL-Class,BMW,Сигнально-помаранчевий,288,42,1960
398,ME6751HI,Forte5,Toyota,Індиго,298,22,1977
399,IE6968KI,F350 Super Duty Super Cab,Volkswagen,Діамантово-рожевий,216,18,1948
400,AA0092EX,H1,Ford,Синя сталь,269,46,1988
401,MM0436MO,Ram 2500 Regular Cab,Nissan,Зелений,143,43,1948
402,SE0940HP,Pilot,Kia,Темний зелений чай,138,37,1916
403,MV8769XK,200,Nissan,Латунний,229,19,1996
404,NM2141XM,RAV4,Chevrolet,Джинсовий,283,39,1952
405,NX6008BR,Sportvan G20,Ram,Малиновий,115,34,1982
406,NN8286PC,SC,Honda,Синій Клейна,210,35,1888
407,XO3298CI,MKC,MAZDA,Блідо-карміновий,268,49,1932
408,IA2488EE,Fusion Energi,Ford,Діамантово-рожевий,118,45,1912
409,EV4607KA,Stratus,Audi,Кобальтовий,174,47,1949
410,BN5409TT,Savana 2500 Passenger,Chevrolet,Каштановий,259,49,1891
411,NT0529CB,M-Class,MAZDA,Кардинал (колір),271,15,1941
412,NI1210IC,Compass,Hyundai,Амарантово-рожевий,123,4,1999
413,XA5493PK,Savana 3500 Passenger,Toyota,Амарантово-рожевий,100,7,1948
414,AM1419KM,SKY,MAZDA,Темно-золотий,209,30,1904
415,RX8121AZ,ProMaster Cargo Van,Chevrolet,Пісочний колір,257,27,1978
416,KH1909AX,XF,Audi,Глицінія,203,1,1892
417,BA8063CI,GTI,INFINITI,Сангрія,126,41,1958
418,KR0768MA,Focus,Mercedes-Benz,Орхідея,108,7,1932
419,RA8880HK,Civic,Lincoln,Фуксія,272,21,2012
420,EE4705BQ,Bonneville,Chevrolet,Жовто-зелений,284,2,1924
421,KC1739TA,Tracer,Mercury,Кардинал (колір),153,50,1935
422,KC3683BX,Viper,Dodge,Спаржевий,200,6,1940
423,NI8433BN,Optima,Ford,Бурий,104,21,1927
424,EM6163MC,Clubman,Kia,Зелений,292,38,1928
425,AI0213TN,MAZDA6,Mercedes-Benz,Зелена сосна,178,50,1921
426,AX9498HE,Expedition EL,Audi,Аметистовий,105,48,1915
427,TA7000BK,Pathfinder,Cadillac,Умбра палена,200,12,1889
428,KX3510TO,Xterra,Dodge,Блідо-брунатний,143,45,2013
429,EK8495EK,xD,Nissan,Малиновий,150,46,1897
430,ET2057KC,Intrigue,Honda,Дерева,114,18,1887
431,NT4749PT,ES,Kia,Арсеновий,100,47,1923
432,XK3518AE,Sierra (Classic) 2500 HD Extended Cab,Ford,Золотаво-березовий,234,13,1918
433,EK3924II,Z4,Oldsmobile,Синій,233,22,2008
434,AO9501XM,Grand Cherokee,Dodge,Грушевий,253,23,1995
435,RN5249II,Sentra,MAZDA,Пастельно-рожевий,179,14,1968
436,BA0408CM,Regular Cab,Chevrolet,Бежевий,187,28,2017
437,ES8259BE,Freestar Cargo,Land Rover,Панг,127,9,2014
438,IA0427MM,Diamante,GMC,Шкіра буйвола,144,27,1958
439,XK3173OE,Tacoma Access Cab,Nissan,Нефритовий,215,30,1918
440,TA8410IN,Monte Carlo,Mercedes-Benz,Фіолетово-червоний,152,33,1932
441,AO5064CO,Corolla,Honda,Аквамариновий,251,20,2002
442,IV2125BQ,Ghost,Ram,Палена сіена,142,35,1888
443,RV6058CK,Lumina Cargo,GMC,Темно-мандариновий,231,33,1994
444,BB3473XC,A6,Chevrolet,Ультрамариновий,174,29,2004
445,KX8285BE,Silverado 2500 HD Crew Cab,Ford,Жовто-персиковий,300,24,1943
446,BS4546EO,Stratus,Ram,Блідо-пурпуровий,243,27,1925
447,KC1619BN,Camaro,Ford,Нефритовий,101,10,1895
448,BN5929KT,Crossfire,Chrysler,Діамантово-рожевий,116,15,1989
449,NX1073PI,Summit,Honda,Лавандний,103,31,1991
450,BS3495EI,i8,GMC,Ніжно-блакитний,199,33,1960
451,RA8153AA,Mercedes-AMG GLS,Suzuki,Зелена мʼята,167,11,1973
452,KX6183CE,MKT,Cadillac,Багряний,125,26,2012
453,EX5616MP,Savana 2500 Passenger,Saturn,Зелений армійський,132,37,1989
454,ME1547BN,Mercedes-AMG E-Class,Hyundai,Зелено-сірий чай,192,42,1931
455,MM0008AY,960,Lincoln,Колір морської піни,208,23,1914
456,XX6933CM,Swift,INFINITI,Амарантовий,252,49,1888
457,AK2929IB,Econoline E350 Super Duty Cargo,Maybach,Лавандний,138,31,1967
458,AA8397HA,Focus,Suzuki,Міжнародний помаранчевий,140,24,1886
459,NE4665CT,Mustang,Audi,Мандариновий,257,25,1978
460,OO0785OE,CTS,BMW,Синя пил,229,42,1961
461,AN8381OA,F250 Super Duty Crew Cab,Audi,Рожево-лавандний,113,10,2006
462,KK1656HO,M2,FIAT,Блідо-брунатний,280,10,2006
463,EX5650AY,Sorento,INFINITI,Білий,255,13,2006
464,XX5835PC,Suburban 1500,Mitsubishi,Опівнічно-синій,222,38,1903
465,ON2817BH,SLK-Class,Pontiac,Індиго,169,46,1944
466,KR1399CX,A4,Ford,Хакі,144,24,1922
467,AC4503HI,Silverado 1500 HD Crew Cab,Mercury,Діамантово-рожевий,169,32,1921
468,MI5130MP,Durango,Nissan,Кремовий,186,40,2015
469,BE7793TE,LEAF,GMC,Синій,245,35,1899
470,KM3027MB,Metris Cargo,Plymouth,Лавандний,102,27,1989
471,ET1599OK,IS F,Mercedes-Benz,Гумігут,181,11,1991
472,KA3163BN,Impreza,Subaru,Пурпуровий,160,24,1976
473,MO7908HB,718 Boxster,Jaguar,Сливовий,146,21,1962
474,IE0327KM,RDX,Aston Martin,Синя сталь,144,33,1935
475,SV5411TX,Maxima,GMC,Ясно-вишневий,265,38,1903
476,BA1296ON,86,Chevrolet,Синя сталь,248,9,1963
477,KH6668TO,F350 Super Duty Super Cab,Toyota,Зелено-сірий чай,287,22,1950
478,KH5159HA,Corolla Hatchback,GMC,Малиновий,284,31,1937
479,TS1105MK,Bronco,Ford,Ніжно-оливковий,162,31,2009
480,TT5011XX,Skylark,GMC,Сіра спаржа,199,5,1995
481,NK0224TN,Sierra 1500 Crew Cab,Dodge,Абрикосовий,145,9,2018
482,AB6316XC,Spark,Ford,Діамантово-рожевий,150,14,1915
483,XK9275MX,Malibu,Porsche,Зелена сосна,156,31,1910
484,KM8764HA,Sentra,Honda,Чорний,208,15,1957
485,RR9273ME,Murano,Volkswagen,Зелене море,178,49,1900
486,SE5912MI,Protege5,GMC,Яскраво-рожевий,195,45,2001
487,BI4316KN,Canyon Regular Cab,Ford,Зелена мʼята,184,3,1990
488,AX3829EN,Millenia,Chevrolet,Пурпурний,111,44,1953
489,IV6158AC,Evora,BMW,Кардинал (колір),289,34,1991
490,KR0002AI,RX,Audi,Темно-бірюзовий,287,27,1889
491,PD2518PX,Montero,Dodge,Темно-брунатний,269,4,1968
492,XT2371AZ,Outlook,Honda,Фіолетово-червоний,273,34,1906
493,BM5249IC,Escalade,Plymouth,Лимонний,120,11,1945
494,NN7543IN,350Z,Lexus,Золотаво-березовий,158,4,2000
495,MT4297TN,Hardtop 2 Door,Audi,Кораловий,117,18,1978
496,XI3270BB,5 Series,Chevrolet,Синій ВПС,124,35,2008
497,NM0379BK,F250 Super Duty Crew Cab,Lincoln,Цинамоновий,176,36,1991
498,ON2783OK,Mirai,Buick,Джинсовий,229,42,1934
499,XE9205AK,Tundra Double Cab,Chevrolet,Лимонно-кремовий,277,5,1919
500,IE9051ET,Silverado 3500 Extended Cab,Dodge,Кардинал (колір),157,47,1959
501,NM6571XE,Accord Hybrid,Chevrolet,Білий навахо,290,15,1990
502,MV0032CI,Ram 3500 Club Cab,Dodge,Блаватний,152,20,1970
503,KB7911AK,Silverado 3500 Crew Cab,Suzuki,Ліловий,268,26,2011
504,XN8471PX,Fit,Mercedes-Benz,Бургундський,269,13,1905
505,AX5359TT,7 Series,Saturn,Мисливський,258,48,2002
506,EX7859CA,Spark EV,Porsche,Темно-золотий,219,44,1908
507,XI9468BN,Navigator L,Nissan,Гарбуз,250,7,1989
508,MV3996CE,Sedona,HUMMER,Бургундський,181,31,2018
509,IV8297HX,Matrix,FIAT,Лавандний,256,35,1895
510,AX2666MX,RAV4,Porsche,Шкіра буйвола,181,30,2017
511,NM1505OE,MAZDA6,Toyota,Бірюзовий,160,35,2014
512,OA2404MT,Navigator,Chevrolet,Циннвальдит,200,33,1919
513,XT7688EM,Mirage,Land Rover,Смарагдовий,231,13,1923
514,TO0508CO,Silverado 2500 HD Regular Cab,Volkswagen,Панг,143,46,2003
515,BA3885HX,3500 Regular Cab,Nissan,Зеленувато-блакитний,168,20,1930
516,XA0843PB,Grand Cherokee,Porsche,Малиновий,299,40,1937
517,BN2828PE,Convertible,BMW,Червоновато-брунатний,208,1,1981
518,AT8581AX,Santa Fe Sport,Nissan,Пурпурний,147,10,1917
519,TK3377BL,B-Series Regular Cab,BMW,Фіолетово-баклажановий,194,38,1980
520,OA6608XB,Camry,Audi,Лляний,141,14,1906
521,TR4341IA,626,Toyota,Будяковий,196,45,1897
522,KA0397TX,57,Suzuki,Темно-брунатний,198,5,1907
523,XI7691HT,CLK-Class,Chevrolet,Умбра палена,168,26,1945
524,XN3265PN,Venture Passenger,Geo,Барвінковий,191,20,1928
525,IA3932PT,Tacoma Regular Cab,Ford,Лавандний,252,10,2004
526,IA2573EN,LEAF,Ford,Синій,192,36,1902
527,NN0482TM,M6,Suzuki,Панг,214,3,1922
528,TI5742XK,Colorado Extended Cab,Ford,Кораловий,261,26,2012
529,KI8764OC,458 Spider,Ford,Помаранчевий,201,37,1989
530,TT1183EP,323,GMC,Фуксія,266,46,2009
531,AN3788TE,MAZDA2,BMW,Вода пляжа Бонді,195,9,1980
532,SM9256AC,Thunderbird,Honda,Амарантовий,211,6,1890
533,ME2208BC,300 CE,Lexus,Іржавий,276,3,1923
534,KE6964EE,Blazer,Chevrolet,Смарагдовий,284,3,1956
535,AK5840BH,I,Plymouth,Алізариновий червоний,234,6,1917
536,MK6651AX,Pacifica,Ford,Багряний,270,25,1992
537,MK9105BM,2500 Club Coupe,Mercedes-Benz,Темно-персиковий,229,20,2018
538,II8141MX,F150 SuperCrew Cab,Kia,Блаватний,187,19,1933
539,TI9436CT,E-Class,Ford,Каштановий,252,3,1968
540,EV8029KM,Ascent,Volkswagen,Ультрамариновий,101,30,1966
541,BK5712KX,M6,Nissan,Фіолетовий,232,10,1978
542,RE6177KM,Galant,Lincoln,Візантійський,274,30,1886
543,KX7899XT,Tahoe,Honda,Бірюзовий,287,11,1930
544,IV8390IM,Tracer,GMC,Золотаво-березовий,192,9,1968
545,AX1820PA,GX,Chevrolet,Блакитно-фіолетовий,219,31,1972
546,TS1057AY,Sable,Toyota,Персиковий,185,48,1915
547,XE8826XN,Intrepid,Dodge,Гірчичний,292,13,1989
548,BK2172ON,Express 2500 Cargo,Audi,Ясно-вишневий,192,4,1928
549,KI6190TO,X6,Toyota,Колір морської піни,269,23,1941
550,NO6819OK,Express 2500 Cargo,Cadillac,Карміновий,157,30,1970
551,NI1606MI,Elise,Honda,Старе золото,200,14,2001
552,RX8010PN,Ram 1500 Quad Cab,Volkswagen,Берлінська лазур,161,49,1918
553,KC9228IP,LS,Oldsmobile,Темно-зелений хакі,165,1,2009
554,KB7748EK,2500 HD Extended Cab,MAZDA,Білий навахо,255,13,1894
555,XK7455OA,Silverado 2500 HD Regular Cab,GMC,Цинамоновий,221,44,1971
556,SN3261BI,GT-R,BMW,Блідо-пісочний,129,1,2001
557,XI4917IP,Silverado 2500 HD Crew Cab,Volvo,Синій (RYB),100,28,1934
558,XS9447IO,MKZ,Mercedes-Benz,Золотисто-каштановий,208,13,1965
559,KM2961BC,MAZDA3,Lexus,Темний пастельно-зелений,297,5,1934
560,XX5627BT,2500 Extended Cab,BMW,Зелено-сірий чай,164,24,1893
561,MM5477AB,Avalanche,Honda,Ніжно-оливковий,188,25,1937
562,AB8825KC,Sierra 2500 HD Regular Cab,Nissan,Сіра спаржа,144,13,1951
563,AO3367XX,Safari Cargo,Chevrolet,Глицінія,107,7,1980
564,XO5076MX,FJ Cruiser,GMC,Темно-аспідний сірий,226,4,2007
565,OX6510XK,Tempo,MAZDA,Кремовий,128,34,1965
566,ES6398AE,300 D,Chevrolet,Спаржевий,137,4,1895
567,KA2493CB,3-Sep,MAZDA,Абрикосовий,215,8,1994
568,MO3936EP,XT4,Mercedes-Benz,Бістр,106,26,1897
569,BS6498IA,Freestar Cargo,Oldsmobile,Андроїдний зелений,206,20,1943
570,IV6379OI,Sable,Cadillac,Фіолетово-червоний,258,36,1913
571,AM3150AN,Galant,Chevrolet,Лимонно-кремовий,159,2,1939
572,ON0873BK,Viper,Buick,Темно-брунатний,213,42,1930
573,KC8895AE,Sierra 1500 Crew Cab,Dodge,Бурштиновий,154,38,1985
574,MR5962XK,GTO,Hyundai,Синя пил,194,50,2013
575,EA3431OK,E150 Passenger,Toyota,Жовто-персиковий,246,6,1887
576,NV1918AK,CR-V,Lincoln,Блакитно-фіолетовий,119,20,1970
577,BE9922IK,G-Series G20,Nissan,Смарагдовий,119,31,1910
578,BN3626BH,Regal,GMC,Бурий,142,50,1899
579,BI7746XB,LHS,Mercedes-Benz,Джинсовий,125,47,1889
580,XI3464XI,Villager,Subaru,Темно-оливковий,184,32,1963
581,BI0530HT,Quest,Buick,Діамантово-рожевий,152,2,1895
582,IN1254TN,Transit Connect Passenger,Toyota,Темно-лазурний,169,13,1890
583,BN6074EA,A6,GMC,Гарячо-рожевий,203,27,1925
584,IA9569CN,900,Toyota,Помаранчевий,242,32,1903
585,XI3733PC,Cadenza,Isuzu,Рожево-лавандний,297,9,1995
586,RN0689BQ,Wrangler Unlimited,Chevrolet,Помаранчево-рожевий,217,2,1977
587,MK7360EX,Maxima,Ford,Гарячо-рожевий,246,18,1919
588,DC5642OT,Mark VIII,Ford,Сині яйця малинівки,244,31,1983
589,TR0033HM,Range Rover Evoque,Ram,Пурпуровий,272,27,1973
590,NN7477HI,Express 2500 Passenger,Nissan,Пурпурний,132,25,1947
591,SN0431OO,Reno,Acura,Ніжно-блакитний,139,12,1914
592,RA2953EB,ES,Nissan,Золотисто-каштановий,186,37,1971
593,NM5937OP,3 Series,Mercury,Білий навахо,238,24,1921
594,MH7118TC,Tacoma Regular Cab,Chrysler,Атомний мандаріновий,280,33,2020
595,SM6916TN,928,Mercedes-Benz,Алізариновий червоний,190,46,1983
596,NS8072TT,Taurus,Audi,Амарантово-рожевий,271,42,1931
597,NX6662EB,Escalade,Suzuki,Гірчичний,153,44,1947
598,RV8284TN,Express 3500 Passenger,Mitsubishi,Фіолетово-червоний,136,46,1915
599,KK5865IB,Safari Cargo,Dodge,Умбра палена,271,2,1890
600,KI5469IB,CL,GMC,Відбірний жовтий,191,49,2002
601,AR5603EA,Tahoe,Geo,Індиго,239,35,1947
602,XE6707AE,New Beetle,Lexus,Синій,145,25,1940
603,IE4109KK,Sierra 2500 HD Crew Cab,Nissan,Кардинал (колір),278,47,1977
604,BE4437ET,MDX,Honda,Темно-карміновий,242,17,1995
605,ET9116CT,Crown Victoria,Chevrolet,Лазурово-синій,284,36,1965
606,KB5091AB,M5,Mercedes-Benz,Ліловий,207,3,2016
607,XS1267BN,LaCrosse,Maybach,Темно-золотий,292,29,1924
608,BE0545PT,BRZ,Toyota,Спаржевий,118,34,1921
609,NO4462EA,S8,Chevrolet,Яскраво-фіолетовий,257,36,1994
610,RE0510MA,Convertible,Nissan,Шкіра буйвола,153,12,1981
611,RE6822HM,Escalade,Chevrolet,Відбірний жовтий,128,30,1973
612,OK1431TK,CC,GMC,Кремовий,128,30,2000
613,SN7742BE,Ridgeline,Acura,Блакитний Брандейса,278,4,1978
614,DI8506PK,Challenger,Volkswagen,Червоновато-брунатний,292,19,2003
615,II9321BT,Silverado 2500 HD Crew Cab,Ford,Ясно-лазуровий (веб),181,50,1941
616,RA0871XA,Range Rover Evoque,Daewoo,Рожево-ліловий,278,50,1923
617,SM4503BR,5 Series,Chevrolet,Бузковий,221,25,2010
618,SE4462HK,E250 Cargo,Rolls-Royce,Барвінковий,237,1,2021
619,MH1016KC,Corolla,Kia,Рожево-ліловий,189,34,1923
620,OE9307BL,Eclipse,Subaru,Сепія,257,47,1949
621,KX2298HX,Grand Cherokee,Mercury,Блідо-волошковий,273,45,1920
622,OA4914KX,Patriot,Nissan,Кораловий,138,27,1993
623,KX7018BQ,XC90,Dodge,Ясно-лазуровий (веб),290,13,1929
624,NT0003KX,Forte5,Chevrolet,Зелений армійський,252,11,1940
625,NO7905OE,Quattroporte,GMC,Темний пастельно-зелений,102,26,1962
626,TK9623TZ,Range Rover,Toyota,Ніжно-оливковий,167,9,1960
627,TK3748KM,Grand Vitara,Buick,Міжнародний помаранчевий,249,1,1995
628,ES4492CX,Grand Caravan Passenger,Rolls-Royce,Помаранчево-рожевий,237,5,1937
629,EV1333TT,Ridgeline,Subaru,Спаржевий,278,29,1967
630,RV4459PI,I,Jeep,Помаранчево-рожевий,277,26,1957
631,OO3675XK,Outlook,Mercedes-Benz,Зелена весна,272,43,1919
632,TM7130KE,500L,Honda,Синя пил,115,2,1935
633,BS1658AC,Compass,Jeep,Темно-аспідний сірий,271,29,1983
634,II4082XO,Colorado Extended Cab,Chevrolet,Яскраво-бурштиновий,108,27,1994
635,SA7002AE,Sonic,Nissan,Синя пил,156,25,1970
636,XX5011KT,Ram 3500 Regular Cab,Nissan,Кукурудзяний,156,7,1900
637,TK4730EE,M3,Ford,Світло-синій,154,5,1896
638,DI6346OT,GLE,Mercedes-Benz,Білий,167,26,1952
639,EX4926XN,968,Ford,Оливковий,122,28,1932
640,AB9648AI,RS 3,Pontiac,Блаватний,180,21,1934
641,AC7960PE,F350 Super Duty Crew Cab,Toyota,Темно-каштановий,212,34,1932
642,NK9019EB,A8,Mercury,Шкіра буйвола,200,35,1890
643,EX9085HE,VehiCROSS,BMW,Пшеничний,147,41,2000
644,BX8043OB,Echo,Acura,Опівнічно-синій,122,40,2007
645,OA4107AI,Cabriolet,Volkswagen,Брунато-малиновий,287,38,1986
646,EI5026BM,Camaro,Buick,Темно-каштановий,266,26,2002
647,OX9619EP,Rodeo,Chevrolet,Латунний,250,4,1982
648,TR6635BR,Crown Victoria,Pontiac,Сірий шифер,270,38,1928
649,AX4241CA,Sundance,HUMMER,Темно-мандариновий,130,32,2014
650,IE6798PK,911,BMW,Темно-зелений хакі,234,8,2008
651,XA6074KI,Tundra Double Cab,GMC,Ніжно-оливковий,188,5,1970
